,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
229,698,4977,Dr Dashawn Bailey,Mr,Male,1,Married,122,2020-06-01,,Active,,,,Labour,Contarct Basis,Buddhist,Security,1958.0
230,699,2815,Weston Prohaska III,Mr,Male,1,Married,22,2016-12-22,,Active,,1964.0,,Staff,Contarct Basis,Buddhist,Technical Officer,1986.0
231,700,70087,Alejandra Kreiger,Mr,Male,1,Single,122,2019-09-01,,Active,,,,Labour,Contarct Basis,Buddhist,Security,1991.0
232,701,5150,Prof Marlin Adams,Mr,Male,1,Single,31,2021-01-01,2022-04-07,Inactive,2022-04-07,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1992.0
233,702,75127,Fausto Konopelski,Mr,Male,1,Married,122,2019-10-09,2020-11-22,Inactive,2020-11-22,,,Labour,Contarct Basis,Buddhist,Security,1961.0
234,703,75128,Cali Jacobson,Mr,Male,1,Married,122,2019-10-10,2021-03-30,Inactive,2021-03-30,,,Labour,Contarct Basis,Buddhist,Security,1981.0
235,709,3952,Leif Konopelski,Miss,Female,1,Single,48,2018-06-01,2022-02-24,Inactive,2022-02-24,,,Staff,Contarct Basis,Buddhist,Draughtsman,1994.0
236,710,5020,Prof Norma Osinski MD,Mr,Male,1,Single,31,2020-01-08,2020-11-24,Inactive,2020-11-24,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1999.0
237,711,4341,Brandt Satterfield,Mr,Male,1,Married,24,2018-10-10,,Inactive,2020-06-10,,,Staff,Contarct Basis,Buddhist,Driver,1972.0
238,712,4398,Hope White,Mr,Male,5,Single,65,2018-11-12,2022-06-30,Inactive,2022-06-30,,,Staff,Contarct Basis,Muslim,Design Engineer,1994.0
239,713,4574,Wilburn Gleason,Mr,Male,1,Single,86,2019-02-25,,Active,,,,Staff,Contarct Basis,Buddhist,QA/QC Engineer,1993.0
240,715,4723,Dr Ward Pagac,Mr,Male,1,Single,33,2019-06-10,2021-10-18,Inactive,2021-10-18,,,Staff,Contarct Basis,Buddhist,Site Engineer,1992.0
241,716,50000,Prof Vickie Oberbrunner I,Mr,Male,3,Married,6,2020-04-01,2020-12-12,Inactive,2020-12-12,716.0,,Staff,Contarct Basis,Hindu,Project Manager,1962.0
242,717,50004,Mrs Veronica Ziemann,Miss,Female,1,Single,125,2020-07-10,,Active,,,,Staff,Contarct Basis,Buddhist,Data Colector,1993.0
243,719,5056,Emilio Lebsack,Mr,Male,1,Married,31,2020-02-02,2021-03-30,Inactive,2021-01-15,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958.0
244,718,50005,Dr Jessy Schmidt,Miss,Female,1,Single,125,2020-07-03,,Active,,,,Staff,Contarct Basis,Buddhist,Data Colector,1996.0
245,720,50009,Danial Hyatt,Miss,Female,1,Single,125,2018-05-14,,Inactive,2020-09-04,,,Staff,Contarct Basis,Buddhist,Data Colector,1993.0
246,721,5057,Alexandro Marvin DDS,Mr,Male,1,Married,31,2020-02-03,2020-12-19,Inactive,2020-12-19,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1967.0
247,724,4937,Clementine Lehner,Miss,Female,1,Single,22,2020-01-01,2021-07-31,Inactive,2021-07-31,,,Staff,Contarct Basis,Buddhist,Technical Officer,1970.0
248,726,4947,Ramiro Leffler,Mr,Male,1,Married,24,2020-02-07,,Inactive,2020-08-30,,,Staff,Contarct Basis,Buddhist,Driver,1978.0
249,728,4944,Dr Candelario Douglas Jr,Mr,Male,1,Married,22,2020-02-06,2021-05-10,Inactive,2021-05-10,,,Staff,Contarct Basis,Buddhist,Technical Officer,1991.0
250,729,169011,Miss Allison Tillman,Mr,Male,1,Married,124,2020-03-02,,Inactive,2020-06-24,,,Labour,Contarct Basis,Buddhist,Mason,1964.0
251,730,3878,Katarina Wintheiser,Mr,Male,5,Single,27,2018-04-18,,Inactive,2020-12-31,,,Staff,Contarct Basis,Muslim,Supervisor,1993.0
252,731,4400,Letha Gleason,Mr,Male,1,Single,51,2018-11-12,2021-03-22,Inactive,2021-03-22,,,Staff,Contarct Basis,Buddhist,Helper - JCB,2000.0
253,733,4431,Katrina Effertz,Mr,Male,1,Married,80,2019-01-01,,Inactive,2020-07-18,,,Staff,Contarct Basis,Buddhist,Driver - cab,1985.0
254,734,4771,Dorcas Wuckert,Mr,Male,3,Married,33,2019-06-12,,Inactive,2021-02-25,,,Staff,Contarct Basis,Hindu,Site Engineer,1987.0
255,735,4952,Miss Chanelle Corkery I,Mr,Male,3,Single,36,2020-02-24,2021-07-17,Inactive,2021-07-17,,,Staff,Contarct Basis,Hindu,Engineer Assistant,1991.0
256,736,1073,Benjamin Cronin,Mr,Male,1,Married,8,2010-06-07,,Active,,,,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1987.0
257,737,4925,Herminia Feest,Mr,Male,1,Married,64,2019-11-26,,Inactive,2020-09-15,,,Staff,Contarct Basis,Buddhist,Safety Officer,1976.0
258,738,194050,Shakira Wiegand,Mr,Male,1,Married,1,2021-01-01,2021-09-30,Inactive,2021-09-30,,,Labour,Contarct Basis,Buddhist,Skilled Labor,1978.0
259,739,4709,Jadyn Lang,Mr,Male,1,Married,31,2019-04-02,2021-09-02,Inactive,2021-09-02,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971.0
260,740,4710,Dr Jackie Schumm I,Mr,Male,1,Married,31,2019-04-02,2021-03-24,Inactive,2021-03-24,,,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974.0
